pH_change,Turbidity_change,Bacteria_shape,Yeast_shape,Contamination
Decreasing,Normal,True,True,Bacteria
Decreasing,Normal,True,True,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,True,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,False,Bacteria
Decreasing,Normal,False,True,Bacteria
Decreasing,Increasing,True,True,Bacteria
Decreasing,Increasing,True,True,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,True,False,Bacteria
Decreasing,Increasing,False,True,Bacteria
Normal,Normal,True,True,Bacteria
Normal,Normal,True,True,Yeast
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,True,False,Bacteria
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
Normal,Normal,False,False,False
